,0
contact_quality_roll_1h,2.6678002972267105
cross_resp_move,0.7343711958190237
implausible_roll_1h,-0.7041708537750261
resp_rate_trend_1h,-0.5677419644376833
movement_trend_1h,0.4912069552636206
resp_rate_z,0.4476982293979356
heart_rate_trend_4h,0.43491623606328705
movement_z,-0.31795852270545216
resp_persistence,0.3008771458386321
movement_trend_4h,-0.20971633173867257
temperature_trend_4h,-0.14832771128344835
heart_rate_z,-0.11248023252961493
temperature_z,-0.09811675259379041
temperature_trend_1h,0.0918498120965882
heart_rate_trend_1h,0.06744326805256406
resp_rate_trend_4h,-0.003947395916601052
