,0
cross_resp_move,0.1952349902780177
resp_rate_z,0.14770400136513387
resp_persistence,0.12111352445522197
heart_rate_trend_4h,0.02696604126618593
resp_rate_trend_1h,0.019301959474245834
movement_trend_1h,0.013408664716878616
contact_quality_roll_1h,0.012464017407835287
temperature_trend_4h,0.0075353810799124845
heart_rate_z,0.006241890597225558
heart_rate_trend_1h,0.006196921987345461
temperature_trend_1h,0.003381069168960338
temperature_z,0.0025479823174035963
movement_z,0.0019108759848833145
implausible_roll_1h,0.0
resp_rate_trend_4h,-0.0026895906286493855
movement_trend_4h,-0.0037959628983045
